CVE_ESCUELA_ATENCION,NOM_ESCUELA_ATENCION,REF_TURNO_ATENCION,REF_CICLO_ESCOLAR,NIVEL_EDUCATIVO,TIPO_CCT,SOSTE,NOMBRE_CATALOGO,ID_TURNO_CATALOGO,TURNO_CATALOGO,DOMICILIO,LOCALIDAD,ALCALDIA,SERVICIO_REGIONAL,DIRECCION_OPERATIVA,DEPENDENCIA_NORMATIVA,DIRECCION_GENERAL,SOSTENIMIENTO_F911,SOSTENIMIENTO_AEFCM,LONGITUD,LATITUD,CVE_COL,COLONIA,POB_2010,C_US,NUM_MATRICULA_TOTAL_ESCUELA,REGISTROS_SALUD,PRIORIDAD_ATENCION,PCT_INCOMPLETO,PCT_NO_ASISTIO,PCT_CARIES,CASOS_CARIES,REGISTROS_CARIES,PCT_VISUAL,CASOS_VISUAL,REGISTROS_VISUAL,PCT_SOBREPESO_OBESIDAD,CASOS_SOBREPESO_OBESIDAD,REGISTROS_SOBREPESO_OBESIDAD,IMC_PROMEDIO,REGISTROS_IMC,PCT_ALERTAS_MULTIPLES,CASOS_ALERTAS_MULTIPLES,REGISTROS_ALERTAS_MULTIPLES,ALERTAS_PROMEDIO,COMPLETITUD,CASOS_COMPLETOS,REGISTROS_COMPLETITUD
09DPR4514N,MITLA,MATUTINO,2024-2025 | 2025-2026,Primaria,DPR,Público,MITLA,1,MATUTINO,"CALLE ÁREA DE SERVICIOS DE LA MANZANA 4 MZA 4, S/N INT S/N",COLONIA EL MOLINO TEZONCO,IZTAPALAPA,61,Dirección Regional Centro,DIRECCION GENERAL DE SERVICIOS EDUCATIVOS EN IZTAPALAPA,DGSEI,Federal,Federal,-99.06536389,19.29063611,07-022,CANANEA (U HAB),5466,4,365,240,43.3333,0.4167,0,85.4167,205,240,86.25,207,240,44.5833,107,240,19.0169,236,85,204,240,2.1667,99.5833,239,240
09DPR2208S,REPÚBLICA DE ISLANDIA,MATUTINO,2024-2025 | 2025-2026,Primaria,DPR,Público,REPÚBLICA DE ISLANDIA,1,MATUTINO,CALLE NORTE 174 S/N,COLONIA PENSADOR MEXICANO,VENUSTIANO CARRANZA,43,Dirección Operativa de Educación Primaria No. 3,COORDINACION SECTORIAL DE EDUCACION PRIMARIA,DGOSE,Federal,Federal,-99.08748056,19.44231111,17-086,PENSADOR MEXICANO II,6962,4,141,136,43.0882,0.7353,0,74.2647,101,136,74.2647,101,136,66.1765,90,136,20.6915,118,80.1471,109,136,2.1544,99.2647,135,136
09DPR1296W,GREGORIO MARIAS,VESPERTINO,2024-2025 | 2025-2026,Primaria,DPR,Público,GREGORIO MARÍAS,2,VESPERTINO,CALLE BENITO JUÁREZ S/N S/N INT S/N,PUEBLO SANTA CRUZ MEYEHUALCO,IZTAPALAPA,62,Dirección Regional Cabeza de Juárez,DIRECCION GENERAL DE SERVICIOS EDUCATIVOS EN IZTAPALAPA,DGSEI,Federal,Federal,-99.04033611,19.34008056,07-206,SANTA CRUZ MEYEHUALCO (PBLO),12428,5,174,98,43.0612,1.0204,0,83.6735,82,98,87.7551,86,98,42.8571,42,98,18.9948,96,83.6735,82,98,2.1531,98.9796,97,98
09DPR5021I,AXAYACATL,MATUTINO,2024-2025 | 2025-2026,Primaria,DPR,Público,AXAYACATL,1,MATUTINO,CALLE COLORINES S/N,COLONIA MIRAVALLES,IZTAPALAPA,62,Dirección Regional Cabeza de Juárez,DIRECCION GENERAL DE SERVICIOS EDUCATIVOS EN IZTAPALAPA,DGSEI,Federal,Federal,-98.99857778,19.337925,07-143,MIRAVALLE,13376,5,583,443,42.6637,0,0,76.7494,340,443,93.9052,416,443,42.6637,189,443,18.5227,440,82.167,364,443,2.1332,100,443,443
09DPR2377N,LORENZA ROSALES,MATUTINO,2025-2026,Primaria,DPR,Público,LORENZA ROSALES,7,JORNADA AMPLIADA,AVENIDA DEL TRABAJO 228,COLONIA MORELOS,VENUSTIANO CARRANZA,43,Dirección Operativa de Educación Primaria No. 3,COORDINACION SECTORIAL DE EDUCACION PRIMARIA,DGOSE,Federal,Federal,-99.12542222,19.44951111,17-083,MORELOS I,17867,5,158,133,41.9549,0.7519,0,88.7218,118,133,81.9549,109,133,38.3459,51,133,18.7,132,81.203,108,133,2.0977,99.2481,132,133
09DPR4163Z,BENITO PÉREZ GALDOS,MATUTINO,2024-2025 | 2025-2026,Primaria,DPR,Público,BENITO PÉREZ GALDOS,1,MATUTINO,CALLE JACARANDAS 1,COLONIA SAN MIGUEL TEOTONGO SECCIÓN AVISADERO,IZTAPALAPA,62,Dirección Regional Cabeza de Juárez,DIRECCION GENERAL DE SERVICIOS EDUCATIVOS EN IZTAPALAPA,DGSEI,Federal,Federal,-98.98928333,19.34596111,07-292,SAN MIGUEL TEOTONGO II,17865,4,390,289,41.7993,0.346,0,76.4706,221,289,87.8893,254,289,44.2907,128,289,18.7686,283,84.083,243,289,2.09,99.654,288,289
09DPR5023G,SURINAME,MATUTINO,2024-2025 | 2025-2026,Primaria,DPR,Público,SURINAME,1,MATUTINO,CALLE ACCIÓN SOCIAL NO. 29,UNIDAD HABITACIONAL LOS MIRASOLES,IZTAPALAPA,61,Dirección Regional Centro,DIRECCION GENERAL DE SERVICIOS EDUCATIVOS EN IZTAPALAPA,DGSEI,Federal,Federal,-99.07499444,19.31462778,07-142,MIRASOLES (U HAB),10879,4,483,383,41.7755,0,0,80.4178,308,383,76.5013,293,383,51.9582,199,383,19.3606,381,81.7232,313,383,2.0888,100,383,383
09DPR2921F,LIC. JOSÉ MA. LAFRAGUA,MATUTINO,2024-2025 | 2025-2026,Primaria,DPR,Público,LIC. JOSÉ MA. LAFRAGUA,1,MATUTINO,CALLE IGNACIO ALLENDE 77,COLONIA PARAJE ZACATEPEC,IZTAPALAPA,62,Dirección Regional Cabeza de Juárez,DIRECCION GENERAL DE SERVICIOS EDUCATIVOS EN IZTAPALAPA,DGSEI,Federal,Federal,-99.01598889,19.3567,07-155,PARAJE ZACATEPEC,10790,4,347,210,41.7143,0.9524,0,69.5238,146,210,87.619,184,210,50.4762,106,210,19.2534,206,80,168,210,2.0857,99.0476,208,210
09DPR2845Q,ANDRÉS MOLINA ENRIQUEZ,MATUTINO,2024-2025 | 2025-2026,Primaria,DPR,Público,ANDRÉS MOLINA ENRIQUEZ,1,MATUTINO,CERRADA DE PINO 50,COLONIA CITLALLI,IZTAPALAPA,62,Dirección Regional Cabeza de Juárez,DIRECCION GENERAL DE SERVICIOS EDUCATIVOS EN IZTAPALAPA,DGSEI,Federal,Federal,-99.02286111,19.34256111,07-030,CITLALLI,13631,4,609,476,41.6807,0.2101,0,73.3193,349,476,81.0924,386,476,53.7815,256,476,19.6099,474,78.9916,376,476,2.084,99.7899,475,476
09DPR1050C,INSURGENTE PEDRO MORENO,VESPERTINO,2024-2025 | 2025-2026,Primaria,DPR,Público,INSURGENTE PEDRO MORENO,2,VESPERTINO,CALLE GENERAL JESÚS ALMANZA 4,COLONIA TEPALCATES,IZTAPALAPA,62,Dirección Regional Cabeza de Juárez,DIRECCION GENERAL DE SERVICIOS EDUCATIVOS EN IZTAPALAPA,DGSEI,Federal,Federal,-99.05126389,19.38991944,07-301,TEPALCATES I,10330,4,113,73,41.6438,1.3699,0,79.4521,58,73,82.1918,60,73,45.2055,33,73,19.1324,71,79.4521,58,73,2.0822,98.6301,72,73
